barrel;vol;depth
squared;0;0
small;0;0
round;6;3
small;2;3
squared;6;5
small;4;6.5
round;12;7
small;6;9.5
round;18;11
squared;12;11
small;8;12
round;24;14
small;10;14.5
squared;18;16
round;30;17
small;12;17.5
round;36;20
squared;24;20
small;14;20
small;16;22.5
round;42;24
squared;30;25
small;18;25
round;48;27
small;20;28
round;54;30
squared;36;30
small;22;30.5
round;60;33
small;24;33
squared;42;34
round;66;36
small;26;36
round;72;39
squared;48;39
small;28;39
round;78;42
small;30;42
squared;54;44
round;84;45
small;32;45.5
round;90;48
squared;60;48
round;96;52
squared;66;53
round;102;55
round;108;58
squared;72;58
round;114;61
squared;78;62
round;120;65
squared;84;67
round;126;69
squared;90;72
squared;96;77
squared;102;82
