"date","RF","TF"
"1","201110",93.50832,39.3642851444444
"2","201111",131.365158,88.5632304444444
"3","201112",130.746249,87.3721996078431
"4","201201",51.8862365,25.341132272549
"5","201202",37.62690985,5.60396426666667
"6","201203",58.04344675,11.1273257777778
"7","201204",85.010402,21.3732378555556
"8","201205",109.375881,24.6084460019608
"9","201206",119.669739,30.7906174235294
"10","201207",148.3361965,48.4088222111111
"11","201208",110.3276195,29.1641831888889
"12","201209",96.066651,25.6181760666667
"13","201210",132.804298,39.4170615111111
"14","201211",97.33737,26.8163254166667
"15","201212",114.9096085,50.3235781666667
"16","201301",102.1595235,51.0900184902778
"17","201302",78.193146,32.2913240083333
"18","201303",57.1207185,15.4762393
"19","201304",98.0174742,32.0143572588235
"20","201305",34.9464476,16.5912982627451
"21","201306",41.303147,16.762156
"22","201307",54.785521,16.4252004
"23","201308",58.986809,23.1740744777778
"24","201309",50.98233,45.8265116666667
"25","201310",107.212679,47.3540620555556
"26","201311",93.6669215,36.3025829666667
"27","201312",84.350349,29.9868979555556
"28","201401",96.906683,37.5702988777778
"29","201402",124.7991945,56.5755156444444
"30","201403",85.7231965,34.7300494777778
"31","201404",63.11907,17.77482102
"32","201405",93.171801,25.34822577
"33","201406",64.874584,17.6686250555556
"34","201407",58.0047751,15.5522749222222
"35","201408",120.9938685,36.8634401222222
"36","201409",57.0226382,22.2104086611111
"37","201410",63.8403026,37.4340773833333
"38","201411",168.4975455,70.4127456598039
"39","201412",121.113773,36.6677527696078
"40","201501",85.9627055,30.6707225588235
"41","201502",47.1329572,11.7213399117108
"42","201503",90.7552695,27.9749600666667
"43","201504",84.7585575,22.6070270666667
"44","201505",105.0848695,30.1420921055556
"45","201506",82.1259305,25.9274426944444
"46","201507",133.133278,37.5024633166667
"47","201508",103.5380355,29.3263218444444
"48","201509",53.420445,16.0919880333333
"49","201510",96.9078445,35.6229690166667
"50","201511",151.82654,59.0027155555556
"51","201512",95.824784,36.4677332222222
